parcellation_index,organ,category,division,structure,substructure
158,brain,grey,Isocortex,AIp,AIp2/3
159,brain,VS,c,c,c
164,brain,grey,MY,PRP,PRP
166,brain,grey,Isocortex,PL,PL1
167,brain,grey,HY,RCH,RCH
170,brain,grey,MY,NR,NR
171,brain,grey,TH,LGv,LGv
173,brain,grey,Isocortex,GU,GU2/3
174,brain,grey,TH,RE,RE
179,brain,grey,TH,LH,LH
180,brain,grey,Isocortex,GU,GU5
181,brain,grey,OLF,AOB,AOBgl
182,brain,grey,TH,RH,RH
183,brain,fiber tracts,lfbs,cst,py
187,brain,grey,HY,LHA,LHA
189,brain,grey,OLF,AOB,AOBgr
190,brain,grey,MB,RL,RL
191,brain,fiber tracts,lfbs,cst,pyd
194,brain,grey,Isocortex,SSp-bfd,SSp-bfd2/3
195,brain,grey,MY,MV,MV
196,brain,grey,MY,LIN,LIN
197,brain,grey,OLF,AOB,AOBmi
199,brain,grey,MY,RM,RM
200,brain,grey,MY,AP,AP
202,brain,grey,MY,LAV,LAV
203,brain,grey,HY,LM,LM
204,brain,grey,Isocortex,ACAd,ACAd2/3
207,brain,grey,MB,RN,RN
208,brain,grey,MB,APN,APN
210,brain,grey,MY,SUV,SUV
211,brain,grey,TH,LP,LP
213,brain,grey,OLF,MOB,MOBgr
215,brain,grey,MY,RO,RO
216,brain,grey,HY,ARH,ARH
218,brain,grey,MY,SPIV,SPIV
219,brain,grey,HY,LPO,LPO
221,brain,grey,OLF,MOB,MOBipl
222,brain,fiber tracts,cm,Vn,sV
223,brain,grey,MY,RPA,RPA
224,brain,grey,MB,AT,AT
226,brain,grey,Isocortex,VISal,VISal5
227,brain,grey,Isocortex,TEa,TEa4
229,brain,grey,OLF,MOB,MOBmi
230,brain,fiber tracts,cm,Xn,ts
231,brain,grey,P,RPO,RPO
236,brain,grey,Isocortex,AUDd,AUDd6b
237,brain,grey,OLF,MOB,MOBopl
239,brain,grey,MB,RR,RR
242,brain,grey,Isocortex,AUDpo,AUDpo6a
243,brain,grey,STR,LSc,LSc
244,brain,grey,Isocortex,AUDp,AUDp2/3
245,brain,grey,Isocortex,AUDd,AUDd5
248,brain,grey,TH,AV,AV
250,brain,grey,Isocortex,VISpm,VISpm6a
251,brain,grey,STR,LSr,LSr
253,brain,grey,OLF,NLOT,NLOT1
255,brain,grey,TH,RT,RT
256,brain,grey,HY,AVP,AVP
258,brain,grey,STR,LSv,LSv
260,brain,grey,OLF,NLOT,NLOT2
